	correctYea	wrongYea	wrongNay	correctNay	PRE	normVector1D	midpoints
a	21	1	0	5	0.833333333333333	0	21.5
bajo	1	1	1	24	0	0	2.75
con	4	0	1	22	0.8	0	23.5
de	22	2	0	3	0.6	0	25
desde	1	0	1	25	0.5	0	1.5
durante	0	0	3	24	0	0	1
en	14	0	0	13	1	0	12.75
entre	2	0	0	25	1	0	2.75
hasta	1	0	1	25	0.5	0	1.5
por	11	6	2	8	0.384615384615385	0	18
para	0	0	6	21	0	0	1
sin	0	0	1	26	0	0	1
sobre	3	1	0	23	0.666666666666667	0	6.5
